head	relation	tail	weight
Protein:P01160	-observed_in->	PMID:22140234	0.9666666666666668
Protein:P01160	-observed_in->	PMID:16122147	0.925
Protein:P01160	-observed_in->	PMID:18062902	0.7
Protein:P01160	-observed_in->	PMID:25060145	0.9625
Protein:P01160	-observed_in->	PMID:16504640	0.7
Protein:P01160	-observed_in->	PMID:34230001	0.85
Protein:P01160	-observed_in->	PMID:20131188	0.9727272727272728
Protein:P01160	-observed_in->	PMID:22981931	0.9
Protein:P01160	-observed_in->	PMID:33323477	0.9571428571428572
Protein:P01160	-observed_in->	PMID:21248782	0.925
Protein:P01160	-observed_in->	PMID:21242511	0.94
Protein:P01160	-observed_in->	PMID:31876457	0.9
Protein:P01160	-observed_in->	PMID:30735473	0.7
Protein:P01160	-observed_in->	PMID:31587127	0.7
Protein:P01160	-observed_in->	PMID:14607848	0.7
Protein:P01160	-observed_in->	PMID:16364499	0.7
Protein:P01160	-observed_in->	PMID:31089771	0.85
Protein:P01160	-observed_in->	PMID:21467027	0.85
Protein:P01160	-observed_in->	PMID:9590374	0.94
Protein:P01160	-observed_in->	PMID:26483565	0.7
Protein:P45379	-observed_in->	PMID:26483565	0.9
Protein:P01160	-observed_in->	PMID:20447528	0.94
Protein:P01160	-observed_in->	PMID:25002708	0.7
Protein:P01160	-observed_in->	PMID:16543387	0.9625
Protein:P01160	-observed_in->	PMID:10077394	0.97
Protein:P01160	-observed_in->	PMID:17339002	0.94
Protein:P01160	-observed_in->	PMID:17351376	0.94
Protein:P01160	-observed_in->	PMID:10088206	0.85
Protein:P01160	-observed_in->	PMID:32126847	0.7
Protein:P01160	-observed_in->	PMID:27288971	0.95
Protein:P01160	-observed_in->	PMID:28175276	0.7
Protein:P01160	-observed_in->	PMID:15618049	0.9571428571428572
Protein:P01160	-observed_in->	PMID:29714035	0.7
Protein:P01160	-observed_in->	PMID:10757454	0.9
Protein:P01160	-observed_in->	PMID:16198243	0.7
Protein:P01160	-observed_in->	PMID:31659915	0.7
Protein:P01160	-observed_in->	PMID:19299427	0.7
Protein:P01160	-observed_in->	PMID:28107168	0.95
Protein:P01160	-observed_in->	PMID:26815880	0.85
Protein:P01160	-observed_in->	PMID:25285749	0.925
Protein:P01160	-observed_in->	PMID:33443299	0.85
Protein:P45379	-observed_in->	PMID:33443299	0.9
Protein:P01160	-observed_in->	PMID:10622548	0.9625
Protein:P01160	-observed_in->	PMID:11717612	0.925
Protein:P01160	-observed_in->	PMID:11400857	0.925
Protein:P01160	-observed_in->	PMID:20839988	0.9625
Protein:P01160	-observed_in->	PMID:20852293	0.9
Protein:P01160	-observed_in->	PMID:25619444	0.9666666666666668
Protein:P01160	-observed_in->	PMID:26362447	0.9
Protein:P01160	-observed_in->	PMID:32356860	0.85
Protein:P01160	-observed_in->	PMID:10886584	0.98
Protein:P01160	-observed_in->	PMID:16054049	0.7
Protein:P01160	-observed_in->	PMID:23684562	0.95
Protein:P01160	-observed_in->	PMID:30447033	0.95
Protein:P01160	-observed_in->	PMID:25418365	0.9571428571428572
Protein:P01160	-observed_in->	PMID:28446390	0.7
Protein:P01160	-observed_in->	PMID:20872251	0.95
Protein:P14780	-observed_in->	PMID:20872251	0.9
Protein:P01160	-observed_in->	PMID:28212715	0.7
Protein:P01160	-observed_in->	PMID:28195503	0.9625
Protein:P01160	-observed_in->	PMID:31209992	0.9571428571428572
Protein:P01160	-observed_in->	PMID:31222929	0.9
Protein:P01160	-observed_in->	PMID:12653323	0.925
Protein:P01160	-observed_in->	PMID:24140097	0.9
Protein:P01160	-observed_in->	PMID:16008547	0.97
Protein:P01160	-observed_in->	PMID:11485754	0.9
Protein:P01160	-observed_in->	PMID:11498085	0.94
Protein:P01160	-observed_in->	PMID:17379833	0.85
Protein:P01160	-observed_in->	PMID:9463636	0.9
Protein:P01160	-observed_in->	PMID:19961889	0.85
Protein:P01160	-observed_in->	PMID:20560012	0.9
Protein:P01160	-observed_in->	PMID:24128373	0.85
Protein:P01160	-observed_in->	PMID:30200170	0.95
Protein:P01160	-observed_in->	PMID:15834296	0.9571428571428572
Protein:P01160	-observed_in->	PMID:27220692	0.94
Protein:P01160	-observed_in->	PMID:17996563	0.97
Protein:P01160	-observed_in->	PMID:16621869	0.95
Protein:P01160	-observed_in->	PMID:16328956	0.85
Protein:P01160	-observed_in->	PMID:30282602	0.95
Protein:P19429	-observed_in->	PMID:30282602	0.7
Protein:P01160	-observed_in->	PMID:27611369	0.7
Protein:P01160	-observed_in->	PMID:16247436	0.85
Protein:P01160	-observed_in->	PMID:17223209	0.7
Protein:P01160	-observed_in->	PMID:24100222	0.7
Protein:P01160	-observed_in->	PMID:17592028	0.85
Protein:P01160	-observed_in->	PMID:24038100	0.85
Protein:P01160	-observed_in->	PMID:11309223	0.9571428571428572
Protein:P01160	-observed_in->	PMID:8989501	0.85
Protein:P01160	-observed_in->	PMID:28865890	0.95
Protein:P01160	-observed_in->	PMID:27436224	0.94
Protein:P01160	-observed_in->	PMID:24617620	0.9625
Protein:P01160	-observed_in->	PMID:24621869	0.925
Protein:P01160	-observed_in->	PMID:15458692	0.85
Protein:P01160	-observed_in->	PMID:22575314	0.85
Protein:P01160	-observed_in->	PMID:28283847	0.7
Protein:P01160	-observed_in->	PMID:10487802	0.94
Protein:P01160	-observed_in->	PMID:33865815	0.95
Protein:P01160	-observed_in->	PMID:10494207	0.9
Protein:P01160	-observed_in->	PMID:18005104	0.7
Protein:P01160	-observed_in->	PMID:19422985	0.9571428571428572
Protein:P01160	-observed_in->	PMID:27933639	0.925
Protein:P01160	-observed_in->	PMID:29604419	0.94
Protein:P01160	-observed_in->	PMID:35393018	0.94
Protein:P01160	-observed_in->	PMID:33530911	0.7
Protein:P01160	-observed_in->	PMID:33634445	0.94
Protein:P01160	-observed_in->	PMID:25960598	0.85
Protein:P01160	-observed_in->	PMID:31142058	0.7
Protein:P01160	-observed_in->	PMID:31356682	0.85
Protein:P01160	-observed_in->	PMID:32462768	0.9
Protein:P01160	-observed_in->	PMID:34944477	0.94
Protein:P01160	-observed_in->	PMID:22075401	0.94
Protein:P01160	-observed_in->	PMID:16598443	0.7
Protein:P45379	-observed_in->	PMID:16598443	0.7
Protein:P01160	-observed_in->	PMID:15387439	0.94
Protein:P01160	-observed_in->	PMID:16968988	0.9
Protein:P01160	-observed_in->	PMID:8197967	0.95
Protein:P01160	-observed_in->	PMID:28118147	0.7
Protein:P01160	-observed_in->	PMID:28096288	0.95
Protein:P01160	-observed_in->	PMID:28431065	0.85
Protein:P01160	-observed_in->	PMID:34173166	0.975
Protein:P01160	-observed_in->	PMID:34259098	0.7
Protein:P01160	-observed_in->	PMID:35485239	0.97
Protein:P01160	-observed_in->	PMID:35670217	0.9
Protein:P01160	-observed_in->	PMID:34375135	0.85
Protein:P01160	-observed_in->	PMID:32820656	0.9
Protein:P01160	-observed_in->	PMID:23278975	0.94
Protein:P01160	-observed_in->	PMID:26361828	0.95
Protein:P01160	-observed_in->	PMID:17709640	0.7
Protein:P01160	-observed_in->	PMID:18260860	0.85
Protein:P01160	-observed_in->	PMID:28831085	0.925
Protein:P01160	-observed_in->	PMID:24083942	0.85
Protein:P01160	-observed_in->	PMID:30970005	0.94
Protein:P01160	-observed_in->	PMID:27573595	0.7
Protein:P01160	-observed_in->	PMID:18675567	0.9
Protein:P01160	-observed_in->	PMID:21640398	0.7
Protein:P01160	-observed_in->	PMID:18703243	0.7
Protein:P01160	-observed_in->	PMID:8568471	0.9666666666666668
Protein:P01160	-observed_in->	PMID:22742951	0.9
Protein:P01160	-observed_in->	PMID:10456635	0.925
Protein:P01160	-observed_in->	PMID:23503714	0.7
Protein:P01160	-observed_in->	PMID:20953959	0.7
Protein:P01160	-observed_in->	PMID:20964739	0.9
Protein:P01160	-observed_in->	PMID:20097683	0.9
Protein:P01160	-observed_in->	PMID:19237156	0.9
Protein:P01160	-observed_in->	PMID:22291141	0.9666666666666668
Protein:P01160	-observed_in->	PMID:22257708	0.9666666666666668
Protein:P45379	-observed_in->	PMID:22257708	0.9666666666666668
Protein:P01160	-observed_in->	PMID:21167354	0.9
Protein:P01160	-observed_in->	PMID:11779526	0.7
Protein:P01160	-observed_in->	PMID:11347981	0.85
Protein:P01160	-observed_in->	PMID:11378001	0.9571428571428572
Protein:P01160	-observed_in->	PMID:27956398	0.9
Protein:P01160	-observed_in->	PMID:22083722	0.95
Protein:P01160	-observed_in->	PMID:19231954	0.9625
Protein:P01160	-observed_in->	PMID:31350276	0.95
Protein:P01160	-observed_in->	PMID:28516504	0.7
Protein:P01160	-observed_in->	PMID:12190952	0.95
Protein:P01160	-observed_in->	PMID:32627271	0.925
Protein:P01160	-observed_in->	PMID:17675059	0.7
Protein:P01160	-observed_in->	PMID:32649233	0.85
Protein:P01160	-observed_in->	PMID:15142976	0.85
Protein:P01160	-observed_in->	PMID:11579366	0.94
Protein:P01160	-observed_in->	PMID:11590875	0.85
Protein:P01160	-observed_in->	PMID:27522619	0.925
Protein:P01160	-observed_in->	PMID:15567980	0.7
Protein:P01160	-observed_in->	PMID:18246866	0.9571428571428572
Protein:P01160	-observed_in->	PMID:22432555	0.9
Protein:P01160	-observed_in->	PMID:24661445	0.94
Protein:P01160	-observed_in->	PMID:22194151	0.9571428571428572
Protein:P45379	-observed_in->	PMID:22194151	0.9
Protein:P01160	-observed_in->	PMID:22177588	0.7
Protein:P01160	-observed_in->	PMID:22179538	0.85
Protein:P01160	-observed_in->	PMID:21952518	0.9571428571428572
Protein:P01160	-observed_in->	PMID:25158019	0.7
Protein:P01160	-observed_in->	PMID:26946041	0.9
Protein:P01160	-observed_in->	PMID:28092607	0.9
Protein:P01160	-observed_in->	PMID:20434499	0.85
Protein:P01160	-observed_in->	PMID:19157272	0.94
Protein:P01160	-observed_in->	PMID:23213173	0.95
Protein:P01160	-observed_in->	PMID:25372791	0.94
Protein:P01160	-observed_in->	PMID:26987266	0.9666666666666668
Protein:P01160	-observed_in->	PMID:26977736	0.9
Protein:P01160	-observed_in->	PMID:34402135	0.85
Protein:P01160	-observed_in->	PMID:12000075	0.95
Protein:P01160	-observed_in->	PMID:12093047	0.7
Protein:P01160	-observed_in->	PMID:12093053	0.9571428571428572
Protein:P01160	-observed_in->	PMID:15265819	0.9666666666666668
Protein:P01160	-observed_in->	PMID:17144974	0.7
Protein:P01160	-observed_in->	PMID:22616939	0.7
Protein:P01160	-observed_in->	PMID:9791037	0.7
Protein:P01160	-observed_in->	PMID:17639095	0.7
Protein:P01160	-observed_in->	PMID:23313577	0.7
Protein:P01160	-observed_in->	PMID:30371296	0.7
Protein:P01160	-observed_in->	PMID:21871875	0.94
Protein:P01160	-observed_in->	PMID:10997746	0.95
Protein:P01160	-observed_in->	PMID:27207959	0.85
Protein:P01160	-observed_in->	PMID:12570952	0.9
Protein:P01160	-observed_in->	PMID:30898202	0.9
Protein:P01160	-observed_in->	PMID:11421854	0.85
Protein:P01160	-observed_in->	PMID:29682806	0.7
Protein:P01160	-observed_in->	PMID:29700556	0.9
Protein:P45379	-observed_in->	PMID:29700556	0.9
Protein:P01160	-observed_in->	PMID:30051184	0.925
Protein:P01160	-observed_in->	PMID:27102652	0.85
Protein:P01160	-observed_in->	PMID:28818408	0.95
Protein:P01160	-observed_in->	PMID:27114189	0.7
Protein:P45379	-observed_in->	PMID:27114189	0.85
Protein:P01160	-observed_in->	PMID:10362366	0.9
Protein:P01160	-observed_in->	PMID:25885866	0.94
Protein:P01160	-observed_in->	PMID:26748496	0.95
Protein:P01160	-observed_in->	PMID:12944206	0.85
Protein:P01160	-observed_in->	PMID:24650659	0.9
Protein:P01160	-observed_in->	PMID:21715695	0.975
Protein:P01160	-observed_in->	PMID:17943627	0.9
Protein:P01160	-observed_in->	PMID:18466800	0.94
Protein:P01160	-observed_in->	PMID:25139456	0.95
Protein:P01160	-observed_in->	PMID:25130405	0.9571428571428572
Protein:P01160	-observed_in->	PMID:17713841	0.85
Protein:P01160	-observed_in->	PMID:17716935	0.9
Protein:P01160	-observed_in->	PMID:21703274	0.9571428571428572
Protein:P01160	-observed_in->	PMID:17596223	0.7
Protein:P01160	-observed_in->	PMID:15033254	0.95
Protein:P01160	-observed_in->	PMID:32861196	0.9
Protein:P01160	-observed_in->	PMID:11236049	0.95
Protein:P01160	-observed_in->	PMID:19406268	0.9625
Protein:P01160	-observed_in->	PMID:19394286	0.9
Protein:P01160	-observed_in->	PMID:19380280	0.9571428571428572
Protein:P01160	-observed_in->	PMID:23538053	0.7
Protein:P01160	-observed_in->	PMID:23542086	0.9571428571428572
Protein:P01160	-observed_in->	PMID:24906365	0.9666666666666668
Protein:P01160	-observed_in->	PMID:24406281	0.9
Protein:P01160	-observed_in->	PMID:22677252	0.7
Protein:P01160	-observed_in->	PMID:22690794	0.95
Protein:P01160	-observed_in->	PMID:22677787	0.9
Protein:P01160	-observed_in->	PMID:25449505	0.7
Protein:P01160	-observed_in->	PMID:27379923	0.7
Protein:P01160	-observed_in->	PMID:29859763	0.9
Protein:P01160	-observed_in->	PMID:16875975	0.7
Protein:P01160	-observed_in->	PMID:16856907	0.9
Protein:P01160	-observed_in->	PMID:15063812	0.94
Protein:P01160	-observed_in->	PMID:15256283	0.85
Protein:P01160	-observed_in->	PMID:15257184	0.95
Protein:P01160	-observed_in->	PMID:12767543	0.94
Protein:P01160	-observed_in->	PMID:20185624	0.925
Protein:P01160	-observed_in->	PMID:29251818	0.85
Protein:P01160	-observed_in->	PMID:21070922	0.9
Protein:P01160	-observed_in->	PMID:19525245	0.925
Protein:P01160	-observed_in->	PMID:24506434	0.7
Protein:P01160	-observed_in->	PMID:24507786	0.7
Protein:P01160	-observed_in->	PMID:29667356	0.85
Protein:P01160	-observed_in->	PMID:23614733	0.925
Protein:P01160	-observed_in->	PMID:12523146	0.7
Protein:P01160	-observed_in->	PMID:24559907	0.85
Protein:P01160	-observed_in->	PMID:24530676	0.95
Protein:P01160	-observed_in->	PMID:15921795	0.95
Protein:P01160	-observed_in->	PMID:15912436	0.7
Protein:P01160	-observed_in->	PMID:9337192	0.95
Protein:P01160	-observed_in->	PMID:9327700	0.7
Protein:P01160	-observed_in->	PMID:23917666	0.7
Protein:P01160	-observed_in->	PMID:10817402	0.9625
Protein:P01160	-observed_in->	PMID:29893827	0.9
Protein:P01160	-observed_in->	PMID:26289429	0.925
Protein:P01160	-observed_in->	PMID:24559296	0.85
Protein:P01160	-observed_in->	PMID:32248819	0.85
Protein:P01160	-observed_in->	PMID:23326457	0.7
Protein:P01160	-observed_in->	PMID:32972251	0.9571428571428572
Protein:P01160	-observed_in->	PMID:17673312	0.97
Protein:P01160	-observed_in->	PMID:24647802	0.9666666666666668
Protein:P01160	-observed_in->	PMID:24599027	0.9
Protein:P01160	-observed_in->	PMID:25401728	0.85
Protein:P01160	-observed_in->	PMID:33066783	0.9727272727272728
Protein:P01160	-observed_in->	PMID:27246703	0.85
Protein:P01160	-observed_in->	PMID:32702064	0.9571428571428572
Protein:P01160	-observed_in->	PMID:32489798	0.85
Protein:P01160	-observed_in->	PMID:26368980	0.94
Protein:P01160	-observed_in->	PMID:22509292	0.85
Protein:P01160	-observed_in->	PMID:26053073	0.9
Protein:P01160	-observed_in->	PMID:32015566	0.85
Protein:P01160	-observed_in->	PMID:26244664	0.94
Protein:Q13023	-observed_in->	PMID:20450579	0.7
Protein:Q13023	-observed_in->	PMID:21550986	0.94
Protein:Q13023	-observed_in->	PMID:16460834	0.925
Protein:Q13023	-observed_in->	PMID:25551320	0.9
Protein:Q13023	-observed_in->	PMID:17487687	0.9
Protein:Q13023	-observed_in->	PMID:10830164	0.7
Protein:Q92736	-observed_in->	PMID:10830164	0.925
Protein:Q13023	-observed_in->	PMID:16306226	0.97
Protein:Q13023	-observed_in->	PMID:25547489	0.925
Protein:Q92736	-observed_in->	PMID:25547489	0.7
Protein:Q13023	-observed_in->	PMID:24812305	0.9727272727272728
Protein:Q13023	-observed_in->	PMID:11273716	0.7
Protein:Q92736	-observed_in->	PMID:11273716	0.925
Protein:Q13023	-observed_in->	PMID:23540699	0.9
Protein:P78417	-observed_in->	PMID:3382695	0.7
Protein:P78417	-observed_in->	PMID:9920287	0.7
Protein:P78417	-observed_in->	PMID:31243064	0.7
Protein:Q13563	-observed_in->	PMID:23274954	0.7
Protein:Q13563	-observed_in->	PMID:10615132	0.85
Protein:Q13563	-observed_in->	PMID:16669974	0.85
Protein:Q13563	-observed_in->	PMID:31052533	0.7
Protein:Q13563	-observed_in->	PMID:23376035	0.85
Protein:Q13563	-observed_in->	PMID:26960954	0.7
Protein:Q13563	-observed_in->	PMID:21719175	0.85
Protein:Q13563	-observed_in->	PMID:25660539	0.7
Protein:Q13563	-observed_in->	PMID:27081851	0.94
Protein:Q99828	-observed_in->	PMID:22547769	0.9
Protein:Q92736	-observed_in->	PMID:28158428	0.95
Protein:O14958	-observed_in->	PMID:28158428	0.7
Protein:Q92736	-observed_in->	PMID:34730774	0.9625
Protein:Q92736	-observed_in->	PMID:34546788	0.85
Protein:Q92736	-observed_in->	PMID:32015008	0.7
Protein:Q92736	-observed_in->	PMID:32007997	0.9
Protein:P56539	-observed_in->	PMID:32007997	0.85
Protein:Q92736	-observed_in->	PMID:26005840	0.9571428571428572
Protein:P30626	-observed_in->	PMID:26005840	0.7
Protein:Q92736	-observed_in->	PMID:27647848	0.925
Protein:Q92736	-observed_in->	PMID:28740174	0.7
Protein:Q01484	-observed_in->	PMID:28740174	0.7
Protein:P14780	-observed_in->	PMID:26279167	0.9625
Protein:P14780	-observed_in->	PMID:26269290	0.9727272727272728
Protein:P14780	-observed_in->	PMID:19150151	0.7
Protein:P14780	-observed_in->	PMID:28011588	0.925
Protein:P14780	-observed_in->	PMID:22878601	0.95
Protein:P14780	-observed_in->	PMID:19355890	0.9666666666666668
Protein:P14780	-observed_in->	PMID:16824824	0.7
Protein:P14780	-observed_in->	PMID:15191941	0.94
Protein:P14780	-observed_in->	PMID:20707992	0.9666666666666668
Protein:P14780	-observed_in->	PMID:16126817	0.9666666666666668
Protein:P14780	-observed_in->	PMID:16500583	0.94
Protein:P14780	-observed_in->	PMID:20692054	0.9571428571428572
Protein:P14780	-observed_in->	PMID:12728308	0.95
Protein:P14780	-observed_in->	PMID:18585501	0.9571428571428572
Protein:P14780	-observed_in->	PMID:17307438	0.9
Protein:P14780	-observed_in->	PMID:11557670	0.85
Protein:P14780	-observed_in->	PMID:10080489	0.94
Protein:P14780	-observed_in->	PMID:18432164	0.9
Protein:P14780	-observed_in->	PMID:16464782	0.94
Protein:P14780	-observed_in->	PMID:21297025	0.7
Protein:P14780	-observed_in->	PMID:10880048	0.94
Protein:P14780	-observed_in->	PMID:29274308	0.7
Protein:P14780	-observed_in->	PMID:17512521	0.94
Protein:P14780	-observed_in->	PMID:12031694	0.7
Protein:P14780	-observed_in->	PMID:12031700	0.98125
Protein:P14780	-observed_in->	PMID:18513509	0.97
Protein:P14780	-observed_in->	PMID:18653544	0.975
Protein:P14780	-observed_in->	PMID:21559835	0.9727272727272728
Protein:P14780	-observed_in->	PMID:20043576	0.95
Protein:P14780	-observed_in->	PMID:23819814	0.9769230769230768
Protein:P14780	-observed_in->	PMID:18295518	0.7
Protein:P14780	-observed_in->	PMID:18311803	0.9727272727272728
Protein:P14780	-observed_in->	PMID:20354994	0.9666666666666668
Protein:P14780	-observed_in->	PMID:35410418	0.9
Protein:P14780	-observed_in->	PMID:31012282	0.925
Protein:P14780	-observed_in->	PMID:25294955	0.95
Protein:P14780	-observed_in->	PMID:23537973	0.94
Protein:P14780	-observed_in->	PMID:27746126	0.9842105263157894
Protein:P14780	-observed_in->	PMID:20872564	0.9571428571428572
Protein:P14780	-observed_in->	PMID:29211854	0.9571428571428572
Protein:P14780	-observed_in->	PMID:32126159	0.9666666666666668
Protein:P14780	-observed_in->	PMID:23998545	0.95
Protein:P14780	-observed_in->	PMID:22204652	0.925
Protein:P14780	-observed_in->	PMID:18706834	0.9666666666666668
Protein:P14780	-observed_in->	PMID:18676684	0.9666666666666668
Protein:P14780	-observed_in->	PMID:22033350	0.7
Protein:P14780	-observed_in->	PMID:22947272	0.97
Protein:P14780	-observed_in->	PMID:22918978	0.9666666666666668
Protein:P14780	-observed_in->	PMID:23505923	0.9727272727272728
Protein:P14780	-observed_in->	PMID:22268115	0.7
Protein:P14780	-observed_in->	PMID:26165049	0.98
Protein:P14780	-observed_in->	PMID:26080361	0.975
Protein:P14780	-observed_in->	PMID:21963570	0.9666666666666668
Protein:P14780	-observed_in->	PMID:24930508	0.97
Protein:P14780	-observed_in->	PMID:11054505	0.9571428571428572
Protein:P14780	-observed_in->	PMID:19815660	0.925
Protein:P14780	-observed_in->	PMID:15772219	0.9625
Protein:P14780	-observed_in->	PMID:23478315	0.7
Protein:P14780	-observed_in->	PMID:17030690	0.97
Protein:P14780	-observed_in->	PMID:17643409	0.95
Protein:P14780	-observed_in->	PMID:22490505	0.7
Protein:P14780	-observed_in->	PMID:21733941	0.9571428571428572
Protein:P14780	-observed_in->	PMID:21740772	0.9666666666666668
Protein:P14780	-observed_in->	PMID:19398671	0.7
Protein:P14780	-observed_in->	PMID:14998623	0.9666666666666668
Protein:P14780	-observed_in->	PMID:28355442	0.7
Protein:P19634	-observed_in->	PMID:15942274	0.925
Protein:P19634	-observed_in->	PMID:16082174	0.925
Protein:P16615	-observed_in->	PMID:25008120	0.97
Protein:P16615	-observed_in->	PMID:25968337	0.975
Protein:P16615	-observed_in->	PMID:27074353	0.7
Protein:P26678	-observed_in->	PMID:27074353	0.9
Protein:P14780	-observed_in->	PMID:26578544	0.97
Protein:P14780	-observed_in->	PMID:26359995	0.94
Protein:P14780	-observed_in->	PMID:27241028	0.9571428571428572
Protein:P14780	-observed_in->	PMID:30934954	0.94
Protein:P14780	-observed_in->	PMID:35075377	0.9571428571428572
Protein:P14780	-observed_in->	PMID:34214315	0.97
Protein:P14780	-observed_in->	PMID:26190179	0.9727272727272728
Protein:P14780	-observed_in->	PMID:27687605	0.9571428571428572
Protein:P14780	-observed_in->	PMID:25390353	0.94
Protein:P14780	-observed_in->	PMID:27271099	0.97
Protein:P14780	-observed_in->	PMID:29262413	0.85
Protein:P14780	-observed_in->	PMID:32619165	0.97
Protein:P14780	-observed_in->	PMID:33485858	0.9727272727272728
Protein:P14780	-observed_in->	PMID:26330106	0.925
Protein:P14780	-observed_in->	PMID:26389803	0.9666666666666668
Protein:P14780	-observed_in->	PMID:33782857	0.9
Protein:O14649	-observed_in->	PMID:26912814	0.85
Protein:P56373	-observed_in->	PMID:12842512	0.7
Protein:P56373	-observed_in->	PMID:16497176	0.7
Protein:P56373	-observed_in->	PMID:17135283	0.7
Protein:P56373	-observed_in->	PMID:25824147	0.7
Protein:P21796	-observed_in->	PMID:22869254	0.85
Protein:Q9NS61	-observed_in->	PMID:19927631	0.94
Protein:Q9NS61	-observed_in->	PMID:19359601	0.7
Protein:P17302	-observed_in->	PMID:19359601	0.9571428571428572
Protein:Q9NS61	-observed_in->	PMID:22160437	0.7
Protein:Q9NS61	-observed_in->	PMID:26656859	0.7
Protein:P17302	-observed_in->	PMID:26656859	0.7
Protein:Q9NS61	-observed_in->	PMID:12750820	0.7
Protein:Q9NS61	-observed_in->	PMID:17399641	0.7
Protein:Q9NS61	-observed_in->	PMID:21179275	0.925
Protein:Q92736	-observed_in->	PMID:21179275	0.925
Protein:P16615	-observed_in->	PMID:21179275	0.85
Protein:Q9NS61	-observed_in->	PMID:21349352	0.7
Protein:Q9NS61	-observed_in->	PMID:16829642	0.85
Protein:Q9NS61	-observed_in->	PMID:19768467	0.925
Protein:Q92736	-observed_in->	PMID:19768467	0.7
Protein:P16615	-observed_in->	PMID:19768467	0.7
Protein:P17302	-observed_in->	PMID:19768467	0.7
Protein:Q9NS61	-observed_in->	PMID:21252158	0.97
Protein:Q9NS61	-observed_in->	PMID:18599872	0.9
Protein:Q9NS61	-observed_in->	PMID:18585502	0.9625
Protein:P19429	-observed_in->	PMID:18585502	0.7
Protein:Q9NS61	-observed_in->	PMID:18482733	0.7
Protein:Q9NS61	-observed_in->	PMID:17537202	0.7
Protein:Q9NS61	-observed_in->	PMID:15637125	0.85
Protein:Q9NS61	-observed_in->	PMID:15306225	0.85
Protein:Q9NS61	-observed_in->	PMID:24486512	0.925
Protein:Q9NS61	-observed_in->	PMID:30760025	0.925
Protein:Q9NS61	-observed_in->	PMID:16054122	0.94
Protein:Q9NS61	-observed_in->	PMID:33230829	0.7
Protein:Q9NS61	-observed_in->	PMID:18515646	0.85
Protein:Q9NS61	-observed_in->	PMID:12628735	0.7
